COLLECTION LEVEL,,,,,,,,,,
Repository,Marist Archives and Special Collections,http://dbpedia.org/page/Marist_College,DBP,,,,,,,
Publisher,Marist College,,,,,,,,,
Adress,"3399 North Road, Poughkeepsie, New York 12601",,,,,,,,,
Collection,Lowell Thomas Papers,http://library.marist.edu/archives/LTP/LTP.xml,,,,,,,,
Publication Date,2009 October 30,,,,,,,,,
Creator,Lowell Thomas,http://dbpedia.org/page/Lowell_Thomas,DBP,,,,,,,
Date,1789,1984,bulk,,,,,,,
Physical description,1203,linear feet,spaceoccupied,whole,,,,,,
Access Restrict,Items in this collection do not circulate and may be used in-house only.,,,,,,,,,
Use Restrict,"Individuals requesting reproductions expressly assume the responsibility for compliance with all pertinent provisions of the Copyright Act, 17 U.S.C. ss101 et seq. Patrons further agree to indemnify and hold harmless the Marist College Archives & Special Collections and its staff in connection with any disputes arising from the Copyright Act, over the reproduction of material at the request of patrons. For more information please visit the following website: http://www.loc.gov/copyright/title17/.",,,,,,,,,
Scopecontent,,,,,,,,,,
Bioghist,,,,,,,,,,
SERIES LEVEL,,,,,,,,,,
Title,2.1.1.1.1,Austria,,,,,,,,
Format,,,,,,,,,,
Geographical Name,Austria,http://dbpedia.org/page/Austria,DBP,,,,,,,
Language of the Material,,,,,,,,,,
Series,2,Graphic Materials,,,,,,,,
Sub Series,2.1,Photographs,,,,,,,,
Sub Series,2.1.1,Glass Plate Negatives,,,,,,,,
Sub Series,2.1.1.1,Frank R. Roberson,,,http://148.100.181.189:8090/digitizedContents/LTP/,,,,,/
Sub Series,2.1.1.1.1,Austria,,,,,,,,.
,,,,,,,,,,.jpg
,,,,,,,,,,
Box,1173,,,,,,,,,
FILE,TITLE,DATE,RIGHTS STATEMENT,DIGITAL OBJECT (optional),DIGITAL OBJECT TYPE (optional),SIZE,FORMAT,,,
1,"The old fortress, Kufstein, Austrian Tyrol",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.1.jpg,derived,5x7,,,,
2,"Old fortress on a rock, Kufstein, Austrian Tyrol",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.2.jpg,derived,5x7,,,,
3,"The valley of the Inn, Austrian Tyrol",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.3.jpg,derived,5x7,,,,
4,"Narrow street, Hall, Austrian Tyrol",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.4.jpg,derived,5x7,,,,
5,"Street in Hall, Ehn Valley, Austrian Tyrol",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.5.jpg,derived,5x7,,,,
6,"Marie-Thereseien Strasse, looking toward the Anna Saule, Austrian Tyrol",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.6.jpg,derived,5x7,,,,
7,"Marie-Theresein Strasse showing style of architecture, Innsbruck, Austrian Tyrol",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.7.jpg,derived,5x7,,,,
8,"Looking down Marie-Theresien Strasse toward the mountain, Innsbruck, Austrian Tyrol",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.8.jpg,derived,5x7,,,,
9,"Looking down Herzog-Friedrich Strasse, Innsbruck, Austrian Tyrol",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.9.jpg,derived,5x7,,,,
10,"Golden Adler Hotel in the Herzog-Friedrich Strasse, Innsbruck, Austrian Tyrol",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.10.jpg,derived,5x7,,,,
11,"Golden Adler Hotel, Innsbruck, Austrian Tyrol",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.11.jpg,derived,5x7,,,,
12,"Balin Strasse[?] near the railway station, Innsbruck, Austrian Tyrol",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.12.jpg,derived,5x7,,,,
13,"Old castle just outside of Innsbruck, Austrian Tyrol",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.13.jpg,derived,5x7,,,,
14,"Armor of King Theodorich, Innsbruck",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.14.jpg,derived,4x5,,,,
15,"Innsbruck von Berg Isel, Austrian Tyrol, copy",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.15.jpg,derived,4x5,,,,
16,"Innsbruck von der Weiherburg, copy",7/1/1910,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.16.jpg,derived,4x5,,,,
17,"Modern castle in the Bremer Pass, Austrian Tyrol",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.17.jpg,derived,5x7,,,,
18,"View on road just south of Innsbruck, Austrian Tyrol",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.18.jpg,derived,5x7,,,,
19,"In the Val Ampezzo, Dolomites, Austrian Tyrol",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.19.jpg,derived,5x7,,,,
20,"Frank R. Roberson and Mrs. Jessie W. Roberson in automobile in Ampezzo Valley, Dolomites, Austrian Tyrol",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.20.jpg,derived,5x7,,,,
21,"The Campanile, Cortina d' Ampezzo, Austrian Tyrol",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.21.jpg,derived,5x7,,,,
22,"Fields of flowers, mountains",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.22.jpg,derived,5x7,,,,
23,Garden,before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.23.jpg,derived,5x7,,,,
24,"House, many pictures on wall, Austrian Tyrol",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.24.jpg,derived,4x5,,,,
25,"Street scene, Innsbruck, Austrian Tyrol",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.25.jpg,derived,5x7,,,,
26,"Men climbing, Schneerinne, copy",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.26.jpg,derived,4x5,,,,
27,"Mittenwald, copy",7/1/1910,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.27.jpg,derived,4x5,,,,
28,"Dolomitenst, copy",7/1/1910,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.28.jpg,derived,4x5,,,,
29,"Lermoos, mountains in distance, copy",7/1/1910,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.29.jpg,derived,4x5,,,,
30,"Town and mountains, Lofer, Copy",7/1/1910,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.30.jpg,derived,4x5,,,,
31,"Ornate building, Austria, Copy",before 1916,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.31.jpg,derived,4x5,,,,
32,"Man, Austrian Tyrol, Copy",7/1/1910,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.32.jpg,derived,4x5,,,,
33,"Woman, Austrian Tyrol, Copy",7/1/1910,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.33.jpg,derived,4x5,,,,
34,"Andreas Hofer, Copy",7/1/1910,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.34.jpg,derived,4x5,,,,
35,"Hans Makart, Copy",7/1/1910,No Copyright - United States ; http://rightsstatements.org/page/NoC-US/1.0/?language=en,http://148.100.181.189:8090/digitizedContents/LTP//1173/1173.35.jpg,derived,4x5,,,,
,,,,,,,,,,
